file,fit_Rs,fit_R1,fit_n1,fit_Q1,fit_R2,fit_n2,fit_Q2,fit_Q3,fit_n3
copy.mpt,0.026666172000014796,732.6767387228901,0.7696979366593986,2.529254979355966e-07,473.98582409887024,0.9078020171049475,8.105957101933736e-09,5.510179603241849e-06,0.7952691216736165
DE_104_10_30.mpt,148.73855502448197,6724.770569372926,0.7891010965453444,9.230816433225542e-09,90279.99933794574,0.9999999116683267,1.8240925030854616e-07,1.8362329798154998e-06,0.5786730218589783
DE_104_10_30orig.mpt,199.7693808324834,2506.802241293901,0.7137434606104203,1.7409004972357423e-07,5219.287636642441,0.8260812759895338,6.1397040505561944e-09,3.844412473497094e-07,0.7520022163543012
DE_104_1_30.mpt,188.78262646366565,6359.202845882163,0.7589996340627647,1.4566516989944489e-08,9482.982602248487,0.6472239065120958,0.000468284950561913,4.997411576273536e-07,0.7020801806794972
DE_104_1_30_trimmed.mpt,176.13000319946278,5806.869854973144,0.776598153127505,1.2333274603093525e-08,61193.37751555547,0.9992227390476298,1.4177541921484016e-07,2.402979010926787e-06,0.5391397787657871
DE_140_1_30.mpt,0.09788530005096326,1113.0354159730616,0.7450581720862068,5.5438085151349184e-08,1566.363649612973,0.595989979076334,1.3141542212619095e-06,4.896602319295895e-06,0.7835132911204776
DE_40_10_60.mpt,37.86940911978875,71.55141708080103,0.9585035544645513,4.3470060116512776e-09,80.00715914983952,0.9134984821412224,4.5721208239795644e-06,7.860358882112451e-07,0.9999980775158545
DE_40_11_60.mpt,39.365350559795615,69.6267978837244,1.0,2.2534570486842932e-09,181.08438714126083,0.8776098407183532,8.735203188016571e-06,1.487313000586743e-06,0.9141296287203867
DE_40_12_60.mpt,38.48454388268652,30.26271343519015,0.999995129265674,4.20818869706352e-09,3108.3069425037124,0.4876448849942718,0.000999960466926185,1.9062009819422188e-06,0.9517486077488982
DE_40_13_60.mpt,0.04948688100002747,14.016462275556622,0.9999999958635721,1.1608297162477244e-05,75.86797367233294,0.9999999999924143,1.4628107670722202e-09,2.492674573510212e-06,0.9109694001160953
DE_40_14_60.mpt,36.33162462036922,34.354442424629156,0.9999999999980695,3.823757610987855e-09,83.40526084760629,0.5523315108773126,0.0009971422245717116,1.7847774242384928e-06,0.9519608105274028
DE_40_15_60.mpt,44.68444044729844,25.7436528407461,0.9161394258544816,1.5495613530231434e-05,31.97741346716312,1.0,4.339558952404232e-09,1.4599374072861716e-06,0.9756052725847606
DE_40_2_60.mpt,50.02932919873442,15.864934582593436,0.9904000504317303,5.404962591519292e-06,12.48450064527905,0.9999999988805699,1.3151882438056095e-08,1.3073762155395574e-06,0.9999997585363308
DE_40_3_60.mpt,53.232493423458486,46.55695851217054,0.916452292475674,1.283577882811271e-05,51.77870301143835,0.9999999999963498,3.0372966479674804e-09,1.7400729061329834e-06,0.957064320176638
DE_40_4_60.mpt,52.47914619900174,72.64829415316326,0.9999999997540138,3.0435380465321237e-09,90.14791070721351,0.8888081072388194,9.888354707026037e-06,2.2738808702720825e-06,0.8954510738619801
DE_40_5_60.mpt,0.05686284579441031,122.74939086935535,0.9627863449607589,2.409524938518093e-09,95.7120506624694,0.9151665108453183,5.322838333716717e-06,2.2053227061319405e-06,0.8906200181586384
DE_40_6_60.mpt,46.59642024239611,53.50106505493421,0.9255788900314385,3.7362881312353324e-06,30.474110477560995,0.999999999987905,5.307022965861386e-09,9.211227977024005e-07,0.9946644482345759
DE_40_7_60.mpt,41.280103844723286,9.019437644689619,0.9862988771026168,1.1640368370556764e-05,17.365057579839142,0.9999999999994621,9.231788873464986e-09,1.8649484028143705e-06,0.9516185914427384
DE_40_8_60.mpt,41.62091129703929,56.551919030428664,0.8987383996122356,9.43947728547051e-06,50.187423047729354,0.9999999999999997,2.6909559515120307e-09,1.3507073138694924e-06,0.9530338739117209
DE_40_9_60.mpt,0.061502325379570615,123.12915668617175,0.9439526198701836,3.2496856051236755e-06,145.2230876818619,0.9562185111746878,2.4653300180754736e-09,9.261253772540057e-07,0.9498705102498559
DE_49_5_30.mpt,0.026666172000014796,570.2270839866868,0.8813728478054732,1.0732188454154468e-08,590.7730377714983,0.8535566551935849,1.352259729762162e-07,6.81983274190806e-06,0.7566190062167504
DE_49_7_30.mpt,0.0911567306935509,59754.27933781198,0.9721695787355265,3.207483695477631e-09,2460.9908864104627,0.7224797637881042,6.315560962100175e-08,1.362642957000504e-06,0.5913486990593703
DE_49_8_30.mpt,0.080010714585454,70776.29162883516,0.9522960731618699,3.40133617010574e-09,298216.03015303303,0.8761516578659032,1.1581346740607845e-06,1.8896653791505292e-06,0.48325836986827375
DE_49_9_30.mpt,7.1501130769114765,703219.6454058234,0.6474350483051122,4.5014476378535397e-07,163390.39459611225,0.9573098063130542,2.37291877575041e-09,5.270037474575662e-07,0.7184912512353759
DE_57_6_60.mpt,0.04927203400872426,63.58890396210278,0.6784142418850944,1.377496862062233e-07,3829.999918235632,0.9999999999814405,3.342161550592859e-06,8.450788376675956e-06,0.9002067844390311
DE_65_1_60.mpt,0.07622775147839286,12.702468246671183,0.5932712423480789,6.614645413098186e-05,134.17511162485155,0.9999999999906245,1.0020395969645436e-09,2.6882848888719615e-06,0.9553688336498237
DE_65_3_60.mpt,26.083573137053452,10706.082039702735,0.9466763130584377,3.4973178457325948e-06,85.83035037200985,0.8299992734941127,1.4917477612841344e-08,0.0009999999999943192,0.9999990127831683
