,file,fit_Rs,fit_R1,fit_n1,fit_Q1,fit_R2,fit_n2,fit_Q2,fit_Q3,fit_n3
0,copy.mpt,0.02666617202667179,732.3680378720734,0.7697756962908995,2.5300329649663447e-07,474.35430900127557,0.9076548713861109,8.120855367221847e-09,5.507495163376064e-06,0.7953438019804473
0,DE_104_10_30.mpt,138.72017898857754,6710.907025549689,0.7886947849304764,9.344478078987529e-09,90279.66467298422,0.5160179012976224,4.412627366173816e-06,2.8936717811345327e-07,0.8534129377380223
0,DE_104_10_30orig.mpt,151.9538199449219,6616.935486257347,0.7918972455395977,8.980059069962909e-09,78324.46588679307,0.5537897535944764,2.3783048884081226e-06,1.9591469339330648e-07,0.9459406882738085
0,DE_104_1_30.mpt,187.45853416103236,25009.482762994336,0.6406250015358842,6.807568200746556e-05,6379.341990058857,0.757598780020904,1.4828147295697924e-08,4.931074177831895e-07,0.7050809724361669
0,DE_104_1_30_trimmed.mpt,185.40242341284994,30619.99999999946,0.9999999999926619,3.6143709128272363e-07,6340.243898512548,0.7580638413793068,1.4855673249547507e-08,7.364200321348657e-07,0.6686972765806396
0,DE_140_1_30.mpt,0.0978853000209721,1114.7206139445511,0.7443511073704376,5.577765793091105e-08,1562.4920171878218,0.5976948225883123,1.2932362438447532e-06,4.8977271473574784e-06,0.7833631682493147
0,DE_40_10_60.mpt,37.83889728096123,78.94696942122089,0.9144914196346935,4.54225411641046e-06,71.59314807553841,0.9581557329519766,4.366558593649206e-09,7.846793458602397e-07,0.9999980767367138
0,DE_40_11_60.mpt,39.440853636205375,181.2524835048267,0.8776896453826759,8.71759539748479e-06,69.5595135719138,0.9999999996908923,2.2590224204588337e-09,1.4864988661812407e-06,0.9142210190030605
0,DE_40_12_60.mpt,45.87253697820461,14.142794970940242,0.999999999997393,9.532004701911735e-06,24.98724899184654,0.9999999749562665,7.213202149969344e-09,1.9351821530058654e-06,0.9458675116156666
0,DE_40_13_60.mpt,0.04948688100002747,14.307842218287822,0.9999999999996644,1.1334312799475998e-05,75.87146163173753,0.9999999878276479,1.4628232847258006e-09,2.4812761127966375e-06,0.9116285888210941
0,DE_40_14_60.mpt,35.860537527709425,2.14570303664353,0.4495293041199002,0.0009999926516431592,34.02968167405046,0.9999999808003213,3.808859070586479e-09,1.974897005333265e-06,0.9356339207159905
0,DE_40_15_60.mpt,44.677299369092786,31.983396462827976,0.9999999999999991,4.337520340902401e-09,25.71527420609309,0.9161428380180531,1.551241167884848e-05,1.4605515281798653e-06,0.9755467215683046
0,DE_40_2_60.mpt,50.02994688337366,15.864281628250714,0.990407053039276,5.404630867795523e-06,12.483972984366416,1.0,1.3153182828962163e-08,1.3073644182272082e-06,0.9999999967949464
0,DE_40_3_60.mpt,53.224803502339434,51.78564573595774,0.9999999990698013,3.0363379775466547e-09,46.641306343116675,0.9162458228568577,1.2845138189478023e-05,1.7394991682329052e-06,0.9571206670459037
0,DE_40_4_60.mpt,47.53798004149079,75.3573582941441,0.9999999999998256,2.6193420431530613e-09,1639.9464656610298,0.8348844928628311,0.0009999271295305465,3.198663571147287e-06,0.8386073129077786
0,DE_40_5_60.mpt,0.05686284979120894,122.7342330470798,0.9628464477041246,2.407331024967263e-09,89.19452117408899,0.9244171682479455,5.1384995975572445e-06,2.2548255697037445e-06,0.8868323397151924
